Pneumomediastinum	HP:0025421
Increased facial adipose tissue	None
Hyperplasia of facial adipose tissue	None
Hypertrophy of facial adipose tissue	None
Increased amount of facial fat	None
Large anterior fontanel	None
Large anterior fontanelle	None
Large open anterior fontanel	None
Wide open anterior fontanelle	None
Wide anterior fontanelle	None
Wide anterior fontanel	None
Large anterior fontanels	None
Large open anterior fontanelle	None
Wider-than-typical soft spot of skull	None
Nasal tip, narrow	None
Nasal tip, pinched	None
Thin tip of nose	None
Narrow nasal tip	None
Pinched nasal tip	None
Narrow tip of nose	None
Pinched tip of nose	None
Thin nasal tip	None
Missing mandibular lateral incisor	None
Agenesis of mandibular lateral incisor	None
Missing lower lateral incisor	None
Failure of development of mandibular lateral incisor	None
Absence of lower lateral incisor	None
Absence of mandibular lateral incisor	None
Increased overlap of upper and lower incisors	None
Deep bite	None
Overbite	None
Scissors bite	None
Deep overbite	None
Increased overbite	None
Supraocclusion	None
Purulent rhinitis	None
Abnormality of the paralabial region	None
Abnormality of the infranasal depression	None
Abnormal philtrum	None
Abnormality of the philtrum	None
Congenital extraocular muscle anomaly	None
Recurrent epistaxis	None
Recurrent epistaxes	None
Spontaneous, recurrent epistaxis	None
Recurring nosebleed	None
Spontaneous, recurrent nosebleed	None
Missing frontal sinus	None
Aplasia of frontal sinus	None
Absent frontal sinuses	None
Aplasia sinus frontalis	None
Absent frontal sinus	None
Absence of frontal sinuses	None
Stye of inner eyelid	None
Hordeolum internum	None
Red bump on inner eyelid	None
Early loss of adult teeth	None
Premature loss of adult teeth	None
Premature loss of permanent teeth	None
Early loss of permanent teeth	None
Early loss of secondary dentition	None
Premature loss of secondary teeth	None
Giant conjunctival papillae	None
Symblepharon	None
Eyelid stuck to eyeball	None
Eyelid adhesion to globe of eye	None
Abnormal complement of teeth	None
Abnormal tooth count	None
Abnormal number of teeth	None
Tessier number 13 facial cleft	None
Decreased length of bridge of nose	None
Decreased length of nasal bridge	None
Short nasal bridge	None
Short bridge of nose	None
Abnormality of inferior oblique extraocular muscle	None
Abnormality of the inferior oblique muscle	None
Recurrent pharyngitis	None
Recurrent sore throat	None
Pharyngitis, recurrent	None
Prominent, protruding upper incisors	None
Large permanent upper central incisor	None
Hyperplasia of permanent maxillary central incisor	None
Hypertrophy of permanent maxillary central incisor	None
Macrodontia of permanent maxillary central incisor	None
Increased size of permanent upper central incisor	None
Large permanent maxillary central incisor	None
Long maxillary central incisors	None
Increased size of permanent maxillary central incisor	None
Increased width of permanent maxillary central incisor	None
Prominent upper incisors	None
Increased width of permanent upper central incisor	None
Abnormality of head or neck	None
Head and neck abnormality	None
Absence of lower central incisor	None
Failure of development of mandibular central incisor	None
Absence of mandibular central incisor	None
Agenesis of mandibular central incisor	None
Missing lower central incisor	None
Missing mandibular central incisor	None
Spasticity of the facial muscles	None
Increased stiffness of facial muscles	None
Increased tone of facial muscles	None
Spasticity of facial muscles	None
Fractured skull	None
Fetal nuchal edema	None
Blepharospasm	None
Eyelid spasm	None
Spontaneous closure of eyelid	None
Eyelid twitching	None
Involuntary closure of eyelid	None
Shoe-shaped sella turcica	None
Heliotrope rash of eyelid	None
Conjunctival dermolipoma	None
Tessier number 11 facial cleft	None
Rhizomicry	None
Root dwarfism	None
Dental root hypotrophy	None
Short dental root	None
Dental root hypoplasia	None
Underdeveloped dental roots	None
Short tooth roots	None
Underdeveloped tooth roots	None
Short dental roots	None
Decreased length of dental roots	None
Decreased length of tooth roots	None
Eyelid nodules	None
Nodular changes affecting the eyelids	None
Malar hypoplasia	None
Underdevelopment of malar bone	None
Hypotrophic malar bone	None
Zygomatic flattening	None
Flat cheekbone	None
Decreased size of malar bone	None
Depressed malar region	None
Malar flattening	None
Abnormality of the sublingual glands	None
Abnormality of the ocular adnexa	None
Perforation of the nasal septum	None
Nasal septum perforation	None
Nasal-septum perforation	None
Plaque-like facial hemangioma	None
Hemangioma, facial, plaque-like	None
Tessier facial cleft number 14	None
Tessier number 14 facial cleft	None
Abnormality of parotid gland	None
Anomaly of the parotid gland	None
Abnormal parotid gland morphology	None
Hypoplasia of the tooth germ	None
Small tooth germ	None
Decreased size of tooth germ	None
Small tooth bud	None
Hypoplastic tooth buds	None
Underdevelopment of tooth bud	None
Hypotrophic tooth germ	None
Decreased size of tooth bud	None
Underdevelopment of tooth germ	None
Abnormal dental root morphology	None
Abnormality of the dental root	None
Dental root anomaly	None
Abnormality of tooth root	None
Friedreich's disease	None
Hemifacial enlargement	None
Overgrowth of half of face	None
Facial hemihypertophy	None
Increase in size of half of face	None
Facial hemihyperplasia	None
Hemifacial hypertrophy	None
Hypertrophy of half of face	None
Enlargement of half of face	None
Deformity of the ethmoid bone	None
Anomaly of the ethmoid bone	None
Malformation of the ethmoid bone	None
Abnormality of ethmoid bone	None
Abnormal ethmoid bone morphology	None
Hypotrophic eyelid	None
Failure of development of eyelid	None
Aplasia/Hypoplasia of the eyelid	None
Absence of overlap of anterior upper and lower teeth	None
Anterior openbite	None
Anterior open bite	None
Anterior open bite between upper and lower teeth	None
AOB	None
Gap between upper and lower front teeth when biting	None
Apertognathia malocclusion	None
Anterior open-bite malocclusion	None
Abnormality of the posterior hairline	None
Abnormality of hairline at back of head	None
Fullness of upper eyelid	None
Puffiness of upper eyelid	None
Upper eyelid edema	None
Cellulitis of upper eyelid	None
Upper eyelid oedema	None
Swelling of upper eyelid	None
Underdeveloped tear duct	None
Hypoplastic lacrimal duct	None
Superior rectus atrophy	None
Rectus superior atrophy	None
Abnormal spaced incisors	None
Abnormality of spacing of front teeth	None
Abnormality of spacing of incisors	None
Abnormality of the cheeks	None
Abnormal cheek morphology	None
Deformity of the cheeks	None
Malformation of the cheeks	None
Anomaly of the cheeks	None
Abnormality of the cheek	None
Aplasia/hypoplasia of palatine uvula	None
Aplasia/Hypoplasia of the uvula	None
Ophthalmic artery anomaly	None
Abnormality of ophthalmic artery	None
Cerebellopontine angle arachnoid cyst	None
Monobrow	None
Synophris	None
Synophrys	None
Unibrow	None
bone maxilla	None
Fractured maxilla	None
Gingival fragility	None
Gum fragility	None
Recurrent upper respiratory tract infections	None
Recurrent colds	None
Upper respiratory tract infections, recurrent	None
Upper respiratory tract infections	None
Recurrent upper respiratory infections	None
Frequent upper respiratory tract infections	None
Recurrent upper respiratory and lower respiratory infections	None
Recurrent upper respiratory infection	None
Recurrent URI	None
Frequent upper respiratory infections	None
Potter facies	None
Inverted eyelid	None
Eyelid folded in	None
Entropion	None
Eyelid turned in	None
Increased width of tip of nose	None
Wide tip of nose	None
Increased breadth of nasal tip	None
Nasal tip, wide	None
Nasal tip, broad	None
Broad, upturned nose	None
Broad tip of nose	None
Increased width of nasal tip	None
Broad upturned nose	None
Increased breadth of tip of nose	None
Broad nasal tip	None
Laterally extended eyebrow	None
Increased lateral length of eyebrow	None
Laterally elongated eyebrow	None
Laterally extended eyebrows	None
Sagittal craniosynostosis	None
Midline skull joint closes early	None
Craniosynostosis, sagittal suture	None
Sagittal suture synostosis	None
Craniosynostosis, sagittal	None
Early closure of midline skull joint	None
Intrasutural bones	None
Intra sutural bones	None
Islands of bone within cranial sutures	None
Extra bones within cranial sutures	None
Wormian bones	None
Curly eyelashes	None
Increased size of facial muscles	None
Hyperplasia of facial muscles	None
Large facial muscles	None
Facial muscle hypertrophy	None
Dermolipoma of the conjunctiva	None
Conjunctival lipodermoid	None
Hypotrophic cheekbone	None
Hypotrophy of the cheekbone	None
Hypotrophic zygomatic bone	None
Small zygomatic bone	None
Small malar bone	None
Depressed cheekbone	None
Hypoplasia of cheekbone	None
Flattening of the zygomatic bone	None
Hypotrophy of the zygomatic bone	None
Underdevelopment of zygomatic bone	None
Depressed zygomatic bone	None
Underdevelopment of cheekbone	None
Cheekbone underdevelopment	None
Hypoplasia of the zygomatic bone	None
Decreased size of zygomatic bone	None
Decreased size of cheekbone	None
Small cheekbone	None
Dribbling	None
Sialorrhea	None
Drooling	None
Preauricular cyst	None
Oral cavity teleangiectasia	None
Angioectasias of the oral cavity	None
Spider veins of the mouth	None
Spider veins of the oral cavity	None
Angioectasias of the mouth	None
Oral cavity telangiectasia	None
Abnormality of the calvarium sutures	None
Abnormality of cranial sutures	None
Abnormality of the skull suture	None
Abnormality of the cranial sutures	None
Abnormality of the bregma sutures	None
Scalp edema	None
Bloody nose	None
Epistaxis	None
Nasal hemorrhage	None
Nose bleed	None
Nose bleeding	None
Nosebleed	None
Nasal haemorrhage	None
Frequent nosebleeds	None
Atretic occipital cephalocele	None
Abnormality of facial musculature	None
Abnormality of facial muscles	None
Facial muscle issue	None
Aplasia/Hypoplasia of the nasal bone	None
Screwdriver-shaped incisors	None
Screwdriver shaped front teeth	None
Metopic suture patent to nasal root	None
Microdontia	None
Decreased width of tooth	None
Small tooth	None
Tooth hypotrophy	None
Hypotrophic tooth	None
Tooth hypoplasia	None
Underdeveloped tooth	None
Decreased size of tooth	None
Small teeth	None
Postauricular fistula	None
Posterior auricular sinus	None
Postauricular pit	None
Pit behind the ear	None
Postauricular earpits	None
Posterior auricular pit	None
Abnormal distribution of cell junction proteins in buccal mucosal cells	None
Flat back of the head	None
Posterior flattening of the skull	None
Flat back of skull	None
Flat back of the skull	None
Flat occiput	None
Flat posterior head	None
Flat posterior cranium	None
Broadened nasal bridge	None
Increased width of bridge of nose	None
Increased breadth of nasal bridge	None
Wide nasal bridge	None
Widened nasal bridge	None
Nasal bridge broad	None
Broad flat nasal bridge	None
Wide bridge of nose	None
Increased width of nasal bridge	None
Broad nasal root	None
Increased breadth of bridge of nose	None
Nasal bridge, wide	None
Broad nasal bridge	None
Abnormal head	None
Abnormality of the head	None
Head abnormality	None
Abnormal number of permanent teeth	None
Abnormal number of secondary dentition	None
Abnormal number of adult teeth	None
Abnormal permanent tooth count	None
Abnormal complement of permanent teeth	None
Perioral dermatitis	None
Chapped lip	None
Chapped lips	None
Cheilitis simplex	None
Dry lips	None
Common cheilitis	None
Branchial cysts	None
Branchial cyst	None
Branchial cleft cyst	None
Obliterated fontanelles	None
Premature closure of the bregma sutures	None
Early closure of the bregma sutures	None
Premature fontanel closure	None
Early closure of the cranial sutures	None
Premature closure of the cranial sutures	None
Premature closure of fontanelles	None
Early closure of the fontanelles	None
Fractured mandible	None
bone mandible	None
Lower jaw pain	None
Mandibular pain	None
Odontomas	None
Odontoma	None
Duplication of the upper lip	None
Double upper lip	None
Congenital muscular torticollis	None
Torticollis, congenital	None
Conjunctival follicles	None
Tortuosity of main retinal vessels	None
Central retinal vessel vascular tortuosity	None
Oral erythroplakia	None
Oral erythroplasia	None
Absence of adult molar	None
Missing permanent molar	None
Absence of permanent molar	None
Failure of development of secondary molar	None
Failure of development of permanent molar	None
Missing adult molar	None
Agenesis of secondary molar	None
Agenesis of permanent molar	None
Brachy-turricephaly	None
Brachyturricephaly	None
High, prominent forehead	None
Turribrachycephaly	None
small cranium	None
small calvarium	None
