Abnormality of the breast	HP:0000769
Osmidrosis	None
Bromidrosis	None
Bromhidrosis	None
BO	None
Anal pain	None
Anorectal pain	None
Proctalgia	None
Rectal pain	None
Excessive belching	None
Excessive eructation	None
Excessive burping	None
Costovertebral angle pain	None
Costovertebral angle tenderness	None
Chandelier sign	None
Cervical motion tenderness	None
Painful defecation	None
Pain associated with bowel movements	None
Forearm pain	None
Burning eye sensation	None
Peripheral vasoconstriction	None
Extremities cold to touch	None
Carotidynia	None
Sweaty foot-like odor	None
Pain at the base of the thumb	None
Proximal arm pain	None
Upper arm pain	None
Anterior shoulder pain	None
Pain at the anterior aspect of the elbow	None
Pain at the anterior aspect of the knee	None
Pain at the posterior aspect of the knee	None
Pain on the lateral aspect of the foot	None
Lateral foot pain	None
Pain at the medial aspect of the knee	None
Pain at the lateral aspect of the knee	None
Trochanteric pain	None
Lateral hip pain	None
Pain at the lateral aspect of the hip	None
Pain on the outside of the hip	None
Pain at the lateral aspect of the elbow	None
Radial elbow pain	None
Lateral elbow pain	None
Pain at the posterior aspect of the elbow	None
Pain at the medial aspect of the elbow	None
Ulnar wrist pain	None
Tortuosity of main retinal vessels	None
Central retinal vessel vascular tortuosity	None
Anomaly of the orbital region of the face	None
Abnormality of the orbital region	None
Malformation of the orbital region of the face	None
Deformity of the orbital region of the face	None
Abnormality of the region around the eyes	None
Abnormality of the eye region	None
Darkening of skin of the lips	None
Lip hyperpigmentation	None
Increased pigmentation on the lips	None
Hyperpigmentation of lip vermillion	None
Weak frontalis muscle	None
Weakness of forehead muscle	None
Frontalis muscle weakness	None
Generalised hypoplasia of tooth enamel	None
Generalized hypoplasia of tooth enamel	None
Generalized hypoplasia of dental enamel	None
Generalised hypoplasia of dental enamel	None
Generalised dysplasia of tooth enamel	None
Generalized dysplasia of tooth enamel	None
Prominent supraorbital arches in adult	None
Epicanthus superciliaris	None
Gum disease	None
Pyorrhea	None
Periodontal disease	None
Periodontitis	None
Decreased pneumatization of frontal sinus	None
Decreased volume of frontal sinuses	None
Underdeveloped frontal sinuses	None
Hypoplastic frontal sinuses	None
Small frontal sinuses	None
Hypotrophic frontal sinus	None
Central nasal groove	None
Midline nasal groove	None
Retinal hamartoma	None
Dense skull cap	None
Dense calvaria	None
Progressively abnormally enlarging cranium	None
Macrocephaly, progressive	None
Progressive macrocephaly	None
Progressively abnormally enlarging skull	None
Nasal mucosa vasculitis	None
Brown eyelids	None
Pigmentation of eyelids	None
Hyperpigmentation of eyelids	None
Dark eyelids	None
Abnormality of the orbital bones of skull	None
Abnormality of the bony eye socket	None
Abnormal morphology of bony orbit of skull	None
Abnormality of bones of the orbit of the skull	None
Abnormality of bony orbit of skull	None
Coronal suture synostosis	None
Craniosynostosis of coronal suture	None
Coronal craniosynostosis	None
Coronal suture craniosynostosis	None
Midline notch of upper alveolar ridge	None
Midline notch of upper gum ridge	None
Midline cleft of maxillary alveolar process	None
Midline cleft of upper alveolar ridge	None
Midline notch of maxillary alveolar process	None
Midline notch of maxillary alveolar ridge	None
Periorbital cellulitis	None
Periorbital edema	None
Periorbital oedema	None
Abnormality of the common tendinous ring	None
Abnormal common tendinous ring morphology	None
Dental abnormalities	None
Abnormal dentition	None
Dental problems	None
Abnormality of the dentition	None
Tooth abnormalities	None
Abnormal teeth	None
Dental anomalies	None
Dental abnormality	None
Abnormality of the teeth	None
Dental problem	None
Abnormality of blood vessel of head	None
Abnormality of vasculature of head	None
Abnormality of head blood vessel	None
Abnormal head blood vessel morphology	None
Elf-like facial appearance	None
Elfin facies	None
Leprechaun facies	None
Elf-like facial features	None
Scleral icterus	None
Yellow conjunctiva	None
Conjunctival icterus	None
Yellowing of the whites of the eyes	None
Yellow sclera	None
Tessier number 13 facial cleft	None
Abnormal nasal base norphology	None
Anomaly of base of nose	None
Abnormal nasal base	None
Deformity of nasal base	None
Malformation of nasal base	None
Malformation of base of nose	None
Deformity of base of nose	None
Abnormality of base of nose	None
Anomaly of nasal base	None
Incomplete cleft soft palate	None
Tongue stiffness	None
Stiff tongue	None
Facial papilloma	None
Facial wart	None
Facial verruca	None
Displaced anterior fontanelle	None
Displacement of the anterior fontanelle	None
Conjunctival lipoma	None
Alopecia of scalp	None
Missing scalp hair	None
Pathologic hair loss from scalp	None
Absence of scalp hair	None
Scalp hair loss	None
Baldness	None
Double eyebrow	None
Duplication of eyebrow	None
Face with broad temples and narrow chin	None
Triangular facies	None
Triangular face	None
Inverted triangular face	None
Triangular facial shape	None
Mastoiditis	None
Tooth abscess	None
Dentoalveolar abscess	None
Dental abscess	None
Thin uvula	None
Narrow uvula	None
Narrow palatine uvula	None
Pugilistic facies	None
Boxer-like facial appearance	None
Pugilistic facial appearance	None
Facial fat hypertrophy	None
Increased volume of facial adipose tissue	None
Increased amount of facial adipose tissue	None
Facial fat hyperplasia	None
Increased facial adipose tissue	None
Hyperplasia of facial adipose tissue	None
Hypertrophy of facial adipose tissue	None
Increased amount of facial fat	None
Crowded maxillary incisors	None
Crowded upper front teeth	None
Crowded upper incisors	None
Overlapped maxillary incisors	None
Overlapped upper front teeth	None
Total hyposmia	None
Hypoplastic philtrum	None
Small philtrum	None
Cogan eyelid twitch	None
Lid twitch	None
Cogan lid twitch	None
Eyelid twitch	None
Decreased enamel mineralisation	None
Fluorosis of tooth enamel	None
Enamel hypomineralization	None
Increased porosity of tooth enamel	None
Poorly mineralized tooth enamel	None
Hypomineralization of enamel	None
Mottled tooth enamel	None
White spot lesions of tooth enamel	None
Parotid oncocytoma	None
Salivary gland oncocytoma	None
Scaphocephaly	None
Progressive sclerosis of skull base	None
Complete bilateral cleft lip	None
Narrowing of the tear duct	None
Lacrimal duct stenosis	None
Nasolacrimal duct stenosis	None
Masseter muscular weakness	None
Periapical tooth abscess	None
Alveolar ridge cleft	None
Cleft of alveolar ridge of maxilla	None
Cleft maxillary alveolar ridge	None
Cleft maxillary alveolus	None
Notch of gum ridge	None
Notch of alveolar ridge	None
Cleft anterior maxilla	None
Cleft of gum ridge	None
Cleft of alveolar process	None
Alveolar cleft	None
Notch of alveolar process	None
Skin sulcus in front of the ear	None
Preauricular skin furrows	None
Preauricular skin sulcus	None
Preauricular skin groove	None
Skin groove in front of the ear	None
Preauricular skin furrow	None
Tortuosity of conjunctival vessels	None
Meningism	None
Nuchal rigidity	None
Abnormality of musculature of the nose	None
Abnormality of nasal musculature	None
Abnormality of muscle of nose	None
Abnormally small frontal sinus	None
Aplasia/Hypoplasia of the frontal sinuses	None
Molar incisor malformation	None
Thin philtrum	None
Decreased breadth of philtrum	None
Philtrum, Narrow	None
Decreased horizontal dimension of philtrum	None
Narrow philtrum	None
Decreased transverse dimension of philtrum	None
Decreased width of philtrum	None
Nasal dryness	None
Abnormality of the face	None
Abnormality of the physiognomy	None
Abnormality of the countenance	None
Abnormal face	None
Anomaly of the face	None
Facial anomaly	None
Anomaly of face	None
Abnormality of the visage	None
Disorder of face	None
Facial abnormality	None
Disorder of the face	None
Opacified paranasal sinuses	None
Paranasal sinuses opacification	None
Paranasal sinuses opacified	None
Jagged incisors	None
Serrated incisors	None
Skull soft on palpation	None
Poorly ossified calvarium	None
Soft skullcap	None
Undermineralized calvarium	None
Soft calvaria	None
Poorly ossified calvaria	None
Decreased calvarial ossification	None
Broad skull	None
Wide cranium	None
Broad cranium	None
Increased width of cranium	None
Increased width of skull	None
Wide skull	None
Posterior plagiocephaly	None
Deformational posterior plagiocephaly	None
Occipital plagiocephaly	None
Malformation of facial adipose tissue	None
Abnormality of facial fat	None
Abnormality of facial adipose tissue	None
Deformity of facial adipose tissue	None
Orbital craniosynostosis	None
Atrophied masseter muscle	None
Atrophy of masseter muscle	None
Masseter muscle atrophy	None
Naris, broad	None
Wide nostril	None
Large nares	None
Enlarged naris	None
Enlarged nostril	None
Increased diameter of nares	None
Naris, enlarged	None
Enlarged nares	None
Broad nostril	None
Dilated nostril	None
Dilated nares	None
Increased diameter of nostril	None
Increased width of nares	None
Wide nares	None
Epicanthus tarsalis	None
Anomaly of septum of nose	None
Abnormality of the nasal septum	None
Anomaly of nasal septum	None
Abnormality of septum of nose	None
Abnormal nasal septum morphology	None
Missing front tooth	None
Failure of development of incisor	None
Absence of incisors	None
Missing incisors	None
Agenesis of incisor	None
Absence of front tooth	None
Jaw joint sounds	None
Temporomandibular joint popping sound	None
Jaw joint grating sound	None
Temporomandibular joint clicking sound	None
Jaw joint noise	None
Jaw joint crepitus	None
Temporomandibular joint noise	None
Jaw joint popping sound	None
Temporomandibular joint grating sound	None
Temporomandibular joint sounds	None
Temporomandibular joint crepitus	None
Jaw joint clicking sound	None
Abnormality of temporalis muscle	None
Low hanging nasal tip	None
Nasal tip, overhanging	None
Overhanging nasal tip	None
Drooping nasal tip	None
Hooked tip of nose	None
Conjunctival follicles	None
Buried teeth encased in mucopolysaccharide	None
Impacted teeth due to mucopolysaccharidoses	None
Failure of tooth eruption due to mucopolysaccharidoses	None
Unerupted teeth due to mucopolysaccharidoses	None
Unerupted dentition due to mucopolysaccharidoses	None
Failure of dental eruption due to mucopolysaccharidoses	None
Complete cleft of the upper lip	None
Left unicoronal synostosis	None
Raccoon eyes	None
Periorbital ecchymosis with tarsal plate sparing	None
Increased head circumference	None
Abnormality of depressor anguli oris muscle	None
Premature facial sagging	None
Premature sagging cheeks	None
Tessier number 10 facial cleft	None
Delayed dental eruption	None
Eruption, delayed	None
Delayed eruption	None
Delayed teeth eruption	None
Late tooth eruption	None
Delayed tooth eruption	None
Delayed eruption of teeth	None
Delayed dental development	None
Late eruption of teeth	None
Unilateral cheiloschisis	None
Unilateral cleft lip	None
Unilateral cleft upper lip	None
One sided cleft upper lip	None
Long uvula	None
Hyperplasia of uvula	None
Elongated uvula	None
Long palatine uvula	None
Symblepharon	None
Eyelid stuck to eyeball	None
Eyelid adhesion to globe of eye	None
Abnormality of the sphenoidal sinus	None
Abnormality of the sphenoid sinus	None
Unilateral facial palsy	None
Unilateral facial weakness	None
Weakness of one side of the face	None
Unilateral facial muscle paralysis	None
Paralysis of one side of the face	None
Unilateral facial muscle weakness	None
Unilateral facial paralysis	None
Facial droop	None
Duplicate sella turcica	None
Duplicated sella turcica	None
Duplication of the sella turcica	None
Submucous cleft lip	None
Submucous labial cleft	None
Cross bite	None
Distinctive facies	None
Dysmorphic facies	None
Abnormal facial shape	None
Unusual facies	None
Abnormal morphology of the face	None
Dysmorphic facial features	None
Funny looking face	None
Unusual facial appearance	None
Malformation of face	None
Deformity of face	None
Facial dysmorphism	None
Distortion of face	None
Small nasal bone	None
Underdevelopment of nasal bone	None
Hypoplasia of the nasal bone	None
Decreased size of nasal bone	None
Nasal bone hypoplasia	None
Deficiency of nasal bone	None
Hypotrophic nasal bone	None
Submucous cleft velum	None
Partial thickness cleft soft palate	None
Submucous cleft soft palate	None
Pulp obliteration	None
Pulp canal obliteration	None
Crescent/chevron-shaped pulp chambers	None
Obliteration of the pulp chamber	None
Narrowing of pulp chamber of tooth	None
Reduced size of pulp chamber of tooth	None
Small pulp chamber of tooth	None
Giant conjunctival papillae	None
Absent nasal septum	None
Failure of development of nasal septal cartilage	None
Ageneis of nasal septal cartilage	None
Absent nasal septal cartilage	None
Shovel tooth	None
Shovel-shaped upper front teeth	None
Shovel-shaped maxillary central incisors	None
Limitation of neck motion	None
Limited neck mobility	None
Restricted neck movement	None
Hypertrophy of maxilla	None
Maxillary excess	None
Increased projection of upper jaw	None
Prominent upper jaw	None
Maxillary prognathia	None
Maxillary hyperplasia	None
Hyperplasia of upper jaw	None
Increased size of upper jaw	None
